run,time,node_id,x,y,speed
1,320.00,46,155.25,144.14,0.00
1,320.00,47,731.82,420.30,14.09
1,320.00,48,415.31,248.51,0.00
1,320.00,49,207.93,456.31,0.00
1,320.00,50,425.62,473.74,8.26
1,320.00,51,475.72,609.87,8.58
1,320.00,52,910.92,102.24,15.96
1,320.00,53,818.22,142.97,15.07
1,320.00,54,396.28,441.06,13.63
1,320.00,55,594.40,261.00,6.59
1,320.00,56,706.14,325.09,0.00
1,320.00,57,281.29,536.83,14.32
1,320.00,58,235.14,199.46,0.00
1,320.00,59,429.97,882.44,19.83
1,320.00,60,961.95,981.07,7.54
1,320.00,61,753.73,334.53,19.32
1,320.00,62,336.35,445.70,7.83
1,320.00,63,350.08,663.48,5.89
1,320.00,64,576.45,622.29,20.30
1,320.00,65,217.33,759.02,6.10
1,320.00,66,500.52,467.61,24.20
1,320.00,67,660.15,46.92,5.79
1,320.00,68,326.83,254.98,0.00
1,320.00,69,258.52,735.93,11.62
1,320.00,70,605.15,607.37,18.95
1,320.00,71,901.76,889.17,8.86
1,320.00,72,639.80,633.25,22.39
1,320.00,73,103.40,922.14,11.17
1,320.00,74,293.45,484.69,18.86
1,320.00,75,236.50,737.57,7.46
1,320.00,76,724.01,570.46,5.60
1,320.00,77,813.51,834.30,18.32
1,320.00,78,458.87,411.91,14.29
1,320.00,79,36.97,848.14,8.19
1,320.00,80,732.85,459.20,0.00
1,320.00,81,113.10,668.38,12.39
1,320.00,82,468.23,202.64,20.70
1,320.00,83,729.16,189.42,8.17
1,320.00,84,544.13,611.86,16.98
1,320.00,85,491.63,835.58,9.35
1,320.00,86,536.00,130.80,8.07
1,320.00,87,432.06,457.22,13.10
1,320.00,88,284.02,592.65,17.18
1,320.00,89,909.21,450.08,6.80
1,320.00,90,516.89,402.44,19.10
1,320.00,91,355.45,660.34,10.78
1,320.00,92,565.26,305.94,0.00
1,320.00,93,345.39,695.86,16.92
1,320.00,94,747.26,636.50,20.59
1,320.00,95,65.73,211.29,0.00
1,320.00,96,271.21,283.85,15.69
1,320.00,97,216.99,321.85,5.78
1,320.00,98,421.86,663.42,22.34
1,320.00,99,537.95,677.93,12.94
1,330.00,0,220.79,330.43,0.00
1,330.00,1,223.53,684.88,9.51
1,330.00,2,660.38,726.49,9.20
1,330.00,3,384.17,330.21,21.80
1,330.00,4,806.70,606.96,22.63
1,330.00,5,831.66,771.80,0.00
1,330.00,6,35.66,107.72,0.00
1,330.00,7,438.86,895.03,19.23
1,330.00,8,704.26,686.65,12.11
1,330.00,9,517.93,361.60,8.04
1,330.00,10,594.39,296.80,9.61
1,330.00,11,872.93,511.27,6.48
1,330.00,12,843.96,505.02,0.00
1,330.00,13,832.54,639.81,24.23
1,330.00,14,840.55,953.66,0.00
1,330.00,15,180.11,828.17,15.90
1,330.00,16,765.37,332.06,5.81
1,330.00,17,653.66,7.17,0.00
1,330.00,18,593.40,782.31,18.50
1,330.00,19,303.04,375.40,16.58
1,330.00,20,642.00,637.31,5.05
1,330.00,21,529.77,634.64,5.87
1,330.00,22,142.84,385.97,19.72
